candidate_group_id,route_id,llm_label_count,llm_seed_count,llm_time_score,llm_time_score_std,llm_comfort_score,llm_comfort_score_std,llm_walk_score,llm_walk_score_std,llm_transfer_score,llm_transfer_score_std,llm_reliability_score,llm_reliability_score_std,llm_score_std_mean,llm_label_confidence,llm_reason_sample
backend_graph_od_00001_59009_59049,"graph_(10, 387)_59009_59049_14",3,3,70.0,4.714,65.0,2.357,70.0,0.0,50.0,0.0,55.0,4.714,2.357,0.6863,需换乘1次，ETA较短，步行稍多，部分字段降级 | 一次换乘ETA中等步行较长服务间隔短但数据降级 | 一次换乘，ETA中等，步行时间较长，多个字段降级
backend_graph_od_00001_59009_59049,"graph_(387,)_59009_59049_0",3,3,30.0,4.714,65.0,2.357,90.0,0.0,100.0,0.0,65.0,4.714,2.357,0.6863,直达，但ETA极长，服务频率中等 | 直达ETA很高步行短服务间隔10.75分钟 | 直达，步行短，但ETA很高
backend_graph_od_00001_59009_59049,"graph_(617,)_59009_59049_1",3,3,40.0,4.714,65.0,2.357,90.0,0.0,100.0,0.0,65.0,4.714,2.357,0.6863,直达，但ETA很长，服务频率中等 | 直达ETA高步行短服务间隔12.6分钟 | 直达，步行短，但ETA高
backend_graph_od_00001_59009_59049,"graph_(618,)_59009_59049_2",3,3,50.0,4.714,65.0,2.357,90.0,0.0,100.0,0.0,60.0,4.714,2.357,0.6863,直达，但ETA长，服务频率高，部分字段降级 | 直达ETA高步行短服务间隔10分钟但数据降级 | 直达，步行短，但ETA高，部分字段降级
backend_graph_od_00001_59009_59049,"graph_(620,)_59009_59049_3",3,3,95.0,0.0,70.0,0.0,90.0,0.0,100.0,0.0,65.0,6.2361,1.2472,0.8146,直达，ETA极短，步行少，但数据新鲜度较低且部分字段降级 | 直达低ETA低步行低服务间隔30分钟 | 极低ETA和步行时间，直达，但数据新鲜度较低且部分字段降级
backend_graph_od_00001_59009_59049,"graph_(622,)_59009_59049_4",3,3,60.0,4.714,80.0,7.0711,90.0,0.0,100.0,0.0,70.0,2.357,2.8284,0.7276,直达，但ETA较长，拥堵评分高，数据新鲜度较好 | 直达ETA高但拥堵低步行短服务间隔14分钟 | 直达，步行短，但ETA高，拥堵评分高
backend_graph_od_00001_59009_59049,"graph_(624,)_59009_59049_5",3,3,20.0,4.714,65.0,2.357,90.0,0.0,100.0,0.0,65.0,4.714,2.357,0.6863,直达，但ETA最长，服务频率较低 | 直达ETA极高步行短服务间隔14.5分钟 | 直达，步行短，但ETA极高
backend_graph_od_00001_59009_59049,"graph_(626,)_59009_59049_6",3,3,45.0,4.714,65.0,2.357,90.0,0.0,100.0,0.0,55.0,7.0711,2.8284,0.6802,直达，但ETA很长，数据新鲜度极低 | 直达ETA高步行短服务间隔14分钟但数据陈旧 | 直达，步行短，但ETA很高，数据新鲜度极差
backend_graph_od_00001_59009_59049,"graph_(628,)_59009_59049_7",3,3,40.0,4.714,65.0,2.357,90.0,0.0,100.0,0.0,65.0,4.714,2.357,0.6863,直达，但ETA很长，服务频率高 | 直达ETA高步行短服务间隔8.75分钟 | 直达，步行短，但ETA高
backend_graph_od_00001_59009_59049,"graph_(630,)_59009_59049_8",3,3,80.0,2.357,70.0,0.0,90.0,0.0,100.0,0.0,65.0,6.2361,1.7186,0.7753,直达，ETA较短，步行少，数据新鲜度较低 | 直达ETA稍高步行短服务间隔20分钟 | 直达，ETA较低，步行短，但数据新鲜度差
