candidate_group_id,route_id,service_nos,eta_minutes,ride_time_minutes,walk_time_minutes,walk_distance_meters,transfer_count,load_code,load_score,history_flow_score,congestion_score,data_freshness_seconds,monitored_score,completeness_score,avg_service_frequency_minutes,feature_sources,degraded_fields,is_synthetic
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|161|1,161,2.42,78.3,9.0,720.0,1,SEA,100.0,45.0,59.48,60.0,75.0,76.0,8.75,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|161|2,161,16.42,78.3,6.0,480.0,1,SEA,100.0,45.0,59.48,60.0,75.0,76.0,8.75,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|161|3,161,30.42,78.3,6.0,480.0,0,SEA,100.0,45.0,59.48,60.0,75.0,76.0,8.75,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|168|1,168,6.42,99.7,3.0,240.0,0,SEA,100.0,45.0,58.6,60.0,75.0,70.0,8.625,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:default|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|congestion_score|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|168|2,168,17.42,99.7,6.0,480.0,1,SEA,100.0,45.0,58.6,60.0,75.0,70.0,8.625,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:default|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|congestion_score|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|168|3,168,28.42,99.7,6.0,480.0,1,SEA,100.0,45.0,58.6,60.0,75.0,70.0,8.625,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:default|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|congestion_score|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|169|1,169,5.42,79.0,6.0,480.0,0,SEA,100.0,45.0,61.29,60.0,75.0,76.0,8.125,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|169|2,169,15.42,79.0,6.0,480.0,1,SEA,100.0,45.0,61.29,60.0,75.0,76.0,8.125,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|169|3,169,26.42,79.0,6.0,480.0,0,SEA,100.0,45.0,61.29,60.0,75.0,76.0,8.125,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|178|1,178,1.42,99.3,3.0,240.0,0,SEA,100.0,45.0,60.14,60.0,75.0,76.0,13.375,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|178|2,178,15.42,99.3,3.0,240.0,0,SEA,100.0,45.0,60.14,60.0,75.0,76.0,13.375,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
2026-07-12T14:52:35|46009,2026-07-12T14:52:35|46009|178|3,178,29.42,99.3,3.0,240.0,1,SEA,100.0,45.0,60.14,60.0,75.0,76.0,13.375,eta_minutes:lta_realtime|ride_time_minutes:rule_estimate|walk_time_minutes:rule_estimate|walk_distance_meters:rule_estimate|transfer_count:rule_estimate|load_score:lta_realtime|history_flow_score:historical|congestion_score:historical|data_freshness_seconds:default|monitored_score:lta_realtime|completeness_score:rule_estimate|avg_service_frequency_minutes:database,walk_time_minutes|walk_distance_meters|transfer_count|data_freshness_seconds,True
