candidate_group_id,preference,route_id,label,time_score,comfort_score,walk_score,transfer_score,reliability_score,recommend_score,is_synthetic
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|903|1,1,79.2,59.59,50.98,74.73,19.83,60.49,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|161|1,0,37.03,60.22,49.1,42.78,21.58,43.18,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|169|1,0,35.97,63.14,64.49,75.2,21.89,50.81,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|178|1,0,30.44,63.55,77.04,75.66,22.08,51.24,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|858|1,0,13.75,59.84,50.2,74.73,21.86,41.1,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|901M|1,0,77.73,61.28,75.7,43.64,13.56,58.57,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|911|1,0,74.98,59.79,74.29,16.37,13.53,53.07,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|912A|1,0,70.93,61.12,50.21,74.44,13.71,57.31,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|964|1,0,72.44,56.69,47.54,15.9,19.89,48.41,True
2026-07-12T14:52:35|46009,balanced,2026-07-12T14:52:35|46009|966|1,0,32.68,63.56,85.74,75.85,14.94,52.17,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|903|1,1,79.2,59.59,50.98,74.73,19.83,58.72,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|161|1,0,37.03,60.22,49.1,42.78,21.58,49.3,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|169|1,0,35.97,63.14,64.49,75.2,21.89,54.25,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|178|1,0,30.44,63.55,77.04,75.66,22.08,54.54,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|858|1,0,13.75,59.84,50.2,74.73,21.86,47.26,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|901M|1,0,77.73,61.28,75.7,43.64,13.56,58.43,True
2026-07-12T14:52:35|46009,comfort,2026-07-12T14:52:35|46009|911|1,0,74.98,59.79,74.29,16.37,13.53,55.09,True
